=> snapshot time : 7 <ALLOCATTING> , with memory size = 960.
(8), size -> (0) : 
=> snapshot time : 58 <ALLOCATTING> , with memory size = 0.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 63 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 63 <ALLOCATTING> , with memory size = 0.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 78 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 512 | 639 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 78 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 80 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 86 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 88 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 88 <ALLOCATTING> , with memory size = 184.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 88 <ALLOCATTING> , with memory size = 184.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 88 <ALLOCATTING> , with memory size = 184.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 88 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 88 <ALLOCATTING> , with memory size = 312.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 89 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 89 <ALLOCATTING> , with memory size = 184.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 95 <ALLOCATTING> , with memory size = 184.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 95 <ALLOCATTING> , with memory size = 184.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 99 <ALLOCATTING> , with memory size = 184.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (2) : < 64 > [ 128 | 191 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 100 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 101 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 101 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 112 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 120 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 124 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 125 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 125 <ALLOCATTING> , with memory size = 120.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 544 | 575 ] -> [NULL]
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 129 <ALLOCATTING> , with memory size = 88.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 129 <ALLOCATTING> , with memory size = 88.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 146 <ALLOCATTING> , with memory size = 88.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 147 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 147 <ALLOCATTING> , with memory size = 216.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 147 <ALLOCATTING> , with memory size = 88.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 153 <ALLOCATTING> , with memory size = 56.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 153 <ALLOCATTING> , with memory size = 56.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (1) : < 16 > [ 528 | 543 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 159 <ALLOCATTING> , with memory size = 40.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (1) : < 8 > [ 520 | 527 ] -> [NULL]
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 162 <ALLOCATTING> , with memory size = 39.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 163 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 163 <ALLOCATTING> , with memory size = 71.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 163 <ALLOCATTING> , with memory size = 71.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 163 <ALLOCATTING> , with memory size = 71.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 165 <ALLOCATTING> , with memory size = 71.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 186 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 186 <ALLOCATTING> , with memory size = 71.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 198 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 198 <ALLOCATTING> , with memory size = 71.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 216 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 216 <ALLOCATTING> , with memory size = 199.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 216 <ALLOCATTING> , with memory size = 71.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 224 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 224 <ALLOCATTING> , with memory size = 199.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 256 | 383 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 224 <ALLOCATTING> , with memory size = 199.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (2) : < 32 > [ 544 | 575 ] -> [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
